hjd mag mag_err
2455260.85488 18.436 0.034
2455260.90179 18.497 0.036
2455261.793 18.401 0.038
2455264.8159 18.496 0.038
2455264.86911 18.516 0.036
2455264.88639 18.416 0.033
2455265.79207 18.534 0.035
2455266.78019 18.477 0.041
2455267.822 18.446 0.03
2455268.79327 18.448 0.036
2455269.7881 18.433 0.031
2455270.8325 18.476 0.027
2455271.78757 18.495 0.032
2455272.79441 18.414 0.036
2455273.84901 18.45 0.027
2455274.79778 18.431 0.034
2455275.78351 18.507 0.036
2455275.91474 18.484 0.043
2455276.81836 18.492 0.029
2455277.78459 18.408 0.03
2455277.91359 18.463 0.04
2455278.79462 18.418 0.032
2455279.79517 18.518 0.048
2455279.9189 18.482 0.049
2455280.84684 18.445 0.026
2455281.78237 18.471 0.03
2455281.91899 18.39 0.039
2455282.76285 18.46 0.035
2455282.9075 18.406 0.026
2455283.76401 18.407 0.044
2455284.76601 18.49 0.039
2455285.76165 18.428 0.047
2455285.891 18.385 0.034
2455286.75287 18.517 0.043
2455287.82252 18.405 0.029
2455288.75588 18.45 0.038
2455292.82602 18.393 0.052
2455293.834 18.422 0.031
2455294.72917 18.452 0.032
2455294.74472 18.445 0.036
2455294.76831 18.47 0.026
2455294.78212 18.431 0.024
2455294.80538 18.471 0.024
2455294.81932 18.404 0.022
2455294.84296 18.451 0.024
2455294.84938 18.434 0.024
2455294.87301 18.446 0.022
2455294.8887 18.435 0.024
2455294.91508 18.463 0.027
2455295.74569 18.452 0.028
2455295.77 18.408 0.026
2455295.78404 18.427 0.025
2455295.80842 18.407 0.025
2455295.8225 18.436 0.031
2455295.84631 18.443 0.022
2455295.86047 18.386 0.024
2455295.88516 18.43 0.023
2455295.89991 18.439 0.026
2455296.7729 18.427 0.028
2455296.78994 18.421 0.024
2455296.81043 18.407 0.025
2455296.82443 18.433 0.024
2455296.84784 18.454 0.023
2455296.86184 18.427 0.021
2455296.88594 18.448 0.026
2455296.90163 18.491 0.03
2455297.76881 18.484 0.028
2455297.78306 18.428 0.028
2455297.80688 18.489 0.027
2455297.82108 18.472 0.027
2455297.84475 18.431 0.023
2455297.85887 18.444 0.023
2455297.88303 18.433 0.022
2455297.89804 18.422 0.024
2455298.76971 18.386 0.026
2455298.78398 18.451 0.027
2455298.80765 18.413 0.028
2455298.8218 18.431 0.029
2455298.8454 18.492 0.028
2455298.85974 18.427 0.023
2455298.88433 18.378 0.024
2455298.89924 18.451 0.024
2455298.91845 18.449 0.028
2455299.73081 18.444 0.023
2455299.75442 18.472 0.026
2455299.82984 18.324 0.021
2455299.8439 18.434 0.022
2455299.86802 18.447 0.022
2455299.88235 18.479 0.024
2455299.90896 18.495 0.027
2455300.83958 18.45 0.027
2455300.86316 18.483 0.027
2455300.87863 18.433 0.025
2455300.90391 18.404 0.026
2455300.91811 18.454 0.03
2455301.759 18.444 0.034
2455301.77306 18.456 0.033
2455301.79648 18.402 0.027
2455301.81038 18.455 0.028
2455301.83394 18.414 0.031
2455301.84792 18.488 0.034
2455301.87226 18.47 0.032
2455301.88782 18.516 0.035
2455301.91243 18.465 0.041
2455303.89577 18.464 0.029
2455303.92029 18.442 0.031
2455304.73345 18.431 0.039
2455304.75861 18.435 0.034
2455304.77276 18.41 0.03
2455306.69227 18.499 0.032
2455306.70617 18.446 0.028
2455306.75501 18.384 0.027
2455306.77026 18.486 0.029
2455306.79397 18.443 0.025
2455306.83336 18.44 0.025
2455306.85725 18.415 0.028
2455306.8725 18.465 0.026
2455306.89717 18.431 0.024
2455306.91144 18.447 0.025
2455307.68194 18.37 0.031
2455307.6959 18.467 0.032
2455307.74506 18.396 0.03
2455307.75946 18.402 0.026
2455307.80653 18.444 0.025
2455307.82085 18.419 0.026
2455307.84501 18.473 0.028
2455307.85957 18.448 0.025
2455307.8859 18.431 0.025
2455307.89979 18.428 0.026
2455307.92332 18.456 0.03
2455308.68717 18.455 0.034
2455308.73517 18.452 0.037
2455308.74904 18.435 0.033
2455308.79666 18.456 0.028
2455308.81056 18.395 0.024
2455308.83413 18.459 0.026
2455308.84847 18.423 0.023
2455308.87543 18.458 0.025
2455309.68343 18.486 0.04
2455309.69784 18.424 0.036
2455309.74847 18.484 0.03
2455309.7908 18.4 0.028
2455309.81902 18.419 0.026
2455309.83324 18.502 0.027
2455309.86314 18.509 0.028
2455309.87802 18.436 0.026
2455309.90147 18.465 0.028
2455309.91547 18.443 0.026
2455310.66314 18.466 0.038
2455310.68282 18.435 0.036
2455310.7291 18.43 0.035
2455310.76667 18.387 0.033
2455310.78546 18.4 0.028
2455310.82906 18.479 0.026
2455310.86059 18.384 0.018
2455310.87532 18.472 0.021
2455310.89888 18.453 0.028
2455310.91285 18.459 0.026
2455311.78429 18.404 0.04
2455311.8031 18.427 0.035
2455311.84201 18.404 0.027
2455311.86149 18.45 0.03
2455311.89152 18.496 0.034
2455311.90633 18.44 0.03
2455311.93013 18.427 0.04
2455312.7304 18.434 0.038
2455312.74441 18.488 0.039
2455312.77151 18.543 0.048
2455312.78679 18.465 0.038
2455312.81065 18.49 0.039
2455312.82483 18.465 0.035
2455312.85518 18.422 0.032
2455312.8691 18.434 0.032
2455312.89478 18.501 0.035
2455312.90867 18.412 0.031
2455312.93195 18.497 0.049
2455313.77929 18.422 0.044
2455313.79315 18.42 0.038
2455313.81819 18.426 0.042
2455313.83217 18.413 0.041
2455313.85783 18.514 0.041
2455313.8724 18.457 0.044
2455313.89608 18.418 0.038
2455313.91016 18.415 0.041
2455314.66695 18.321 0.05
2455314.6809 18.404 0.042
2455314.7074 18.427 0.044
2455314.72336 18.493 0.046
2455314.74668 18.475 0.041
2455314.76303 18.438 0.036
2455314.78662 18.461 0.046
2455314.80057 18.414 0.032
2455314.83058 18.497 0.046
2455314.8584 18.467 0.041
2455314.88158 18.468 0.044
2455314.89556 18.537 0.044
2455314.91903 18.443 0.039
2455314.93291 18.436 0.053
2455315.66057 18.409 0.063
2455315.68598 18.372 0.046
2455315.71538 18.45 0.047
2455315.73389 18.525 0.054
2455315.7574 18.355 0.046
2455315.77139 18.562 0.062
2455315.79477 18.483 0.041
2455315.80918 18.451 0.036
2455315.83408 18.328 0.048
2455315.84908 18.494 0.044
2455315.87569 18.47 0.046
2455315.89147 18.44 0.043
2455315.91498 18.517 0.047
2455316.67558 18.444 0.053
2455316.69485 18.438 0.054
2455316.72273 18.399 0.046
2455316.73987 18.409 0.053
2455316.76582 18.341 0.05
2455316.77971 18.467 0.057
2455316.80311 18.45 0.052
2455316.81891 18.469 0.054
2455316.86001 18.476 0.101
2455316.87408 18.495 0.065
2455319.82012 18.496 0.061
2455319.83506 18.362 0.051
2455319.86314 18.501 0.066
2455319.87727 18.541 0.074
2455319.90725 18.525 0.075
2455319.92117 18.462 0.078
2455320.63791 18.447 0.037
2455320.65738 18.372 0.03
2455320.68248 18.4 0.036
2455320.69635 18.459 0.041
2455320.72641 18.438 0.033
2455320.74033 18.411 0.032
2455320.7636 18.42 0.028
2455320.77778 18.436 0.033
2455320.80127 18.42 0.047
2455320.8165 18.483 0.037
2455320.84455 18.485 0.033
2455320.85942 18.416 0.03
2455320.88297 18.446 0.032
2455320.89685 18.37 0.033
2455320.92452 18.461 0.033
2455321.71072 18.432 0.033
2455321.72469 18.487 0.034
2455321.74817 18.406 0.029
2455321.76321 18.413 0.031
2455321.78781 18.409 0.031
2455321.80245 18.412 0.03
2455321.8257 18.48 0.042
2455321.8439 18.436 0.047
2455321.86755 18.409 0.031
2455321.88153 18.492 0.036
2455321.90487 18.458 0.038
2455321.91876 18.427 0.033
2455322.69118 18.478 0.033
2455322.70507 18.314 0.028
2455322.75674 18.33 0.028
2455322.77074 18.522 0.035
2455322.83378 18.438 0.028
2455322.84989 18.447 0.03
2455322.8778 18.366 0.03
2455322.91825 18.445 0.034
2455323.67559 18.434 0.038
2455323.7276 18.447 0.035
2455323.74149 18.448 0.034
2455323.7659 18.449 0.031
2455323.77984 18.438 0.033
2455323.80572 18.433 0.03
2455323.82245 18.458 0.029
2455323.84718 18.423 0.028
2455323.86256 18.397 0.028
2455323.88585 18.443 0.028
2455323.89995 18.42 0.033
2455323.92333 18.444 0.036
2455323.93725 18.516 0.054
2455324.66413 18.448 0.037
2455324.70279 18.41 0.034
2455324.72797 18.379 0.03
2455324.74194 18.463 0.029
2455324.76532 18.381 0.028
2455324.77932 18.403 0.035
2455324.80411 18.465 0.035
2455324.81852 18.434 0.033
2455324.84435 18.438 0.032
2455324.85838 18.472 0.033
2455324.8816 18.428 0.033
2455324.89576 18.472 0.031
2455324.92239 18.523 0.039
2455324.9363 18.446 0.045
2455325.64736 18.427 0.03
2455325.68451 18.405 0.028
2455325.70735 18.449 0.03
2455325.72101 18.423 0.027
2455325.74401 18.464 0.03
2455325.75918 18.425 0.031
2455325.78253 18.417 0.028
2455325.79646 18.399 0.029
2455325.82438 18.467 0.034
2455325.84472 18.441 0.033
2455325.86948 18.541 0.034
2455325.88477 18.473 0.034
2455325.90828 18.466 0.038
2455325.92524 18.453 0.036
2455326.61727 18.436 0.04
2455326.63256 18.4 0.043
2455326.6824 18.483 0.032
2455326.71901 18.442 0.034
2455326.74323 18.48 0.032
2455326.75708 18.455 0.034
2455326.7809 18.506 0.027
2455326.7955 18.393 0.025
2455326.82046 18.462 0.03
2455326.83479 18.454 0.032
2455326.85822 18.423 0.029
