hjd mag mag_err
2453824.09254 16.570746766899845 0.0076
2453824.1321 16.583546766899843 0.0072
2453824.17067 16.558846766899844 0.0082
2453824.19616 16.570146766899846 0.0065
2453825.09446 16.582946766899845 0.0079
2453825.13356 16.589746766899843 0.0086
2453825.17816 16.569646766899844 0.0105
2453825.22051 16.578746766899844 0.0167
2453837.11852 16.595746766899843 0.0113
2453837.16526 16.594846766899845 0.0104
2453837.20621 16.586846766899846 0.0077
2453837.25401 16.568746766899842 0.0089
2453839.06447 16.570346766899846 0.0112
2453839.10423 16.601146766899845 0.0101
2453839.14393 16.575746766899847 0.0097
2453839.18376 16.581846766899844 0.0091
2453839.22315 16.567046766899843 0.0092
2453842.99632 16.529646766899845 0.0211
2453843.03604 16.613546766899844 0.0284
2453843.06503 16.572146766899845 0.0256
2453843.09317 16.562446766899846 0.0191
2453843.1217 16.606746766899846 0.019
2453845.13214 16.619546766899845 0.0146
2453846.0064 16.593046766899846 0.0179
2453848.97405 16.550246766899846 0.0095
2453854.96997 16.525146766899844 0.0149
2453855.01209 16.571046766899844 0.009
2453855.03703 16.543646766899844 0.009
2453855.06335 16.569246766899845 0.0072
2453855.08828 16.572946766899847 0.0202
2453855.946 16.565246766899847 0.0231
2453855.97212 16.579546766899846 0.0091
2453855.99812 16.570746766899845 0.0193
2453856.02425 16.611146766899843 0.0448
2453856.08702 16.571246766899847 0.0145
2453856.11397 16.590846766899844 0.0117
2453856.14299 16.569246766899845 0.0087
2453856.16916 16.591446766899843 0.0095
2453856.19648 16.592546766899844 0.0164
2453856.22806 16.553146766899843 0.0092
2453856.25428 16.560446766899844 0.0115
2453857.93332 16.692146766899846 0.0703
2453858.93493 16.567146766899846 0.0101
2453858.96464 16.530846766899845 0.0095
2453858.99078 16.555146766899846 0.0098
2453859.01976 16.576646766899845 0.0098
2453859.04689 16.558646766899844 0.0087
2453859.07577 16.586746766899843 0.0074
2453859.10417 16.579246766899843 0.0064
2453859.13032 16.583046766899844 0.0074
2453859.15642 16.578546766899844 0.0073
2453859.18579 16.565946766899845 0.0073
2453859.21667 16.584946766899847 0.0077
2453859.24288 16.568046766899844 0.0087
2453859.26907 16.559046766899847 0.0127
2453859.97165 16.511046766899845 0.0305
2453860.00069 16.602146766899843 0.0443
2453860.02681 16.568246766899847 0.0127
2453860.05737 16.568046766899844 0.0106
2453860.08348 16.587046766899846 0.01
2453860.10965 16.569046766899845 0.0089
2453860.13818 16.579746766899845 0.0084
2453860.1644 16.557246766899844 0.0094
2453860.19178 16.584146766899845 0.0073
2453860.22029 16.573746766899845 0.0083
2453860.24649 16.563746766899847 0.008
2453860.92943 16.592446766899844 0.0097
2453860.95807 16.548546766899847 0.0107
2453860.98421 16.579646766899845 0.0077
2453861.01034 16.579046766899843 0.0076
2453861.03647 16.574046766899844 0.0069
2453861.0651 16.569046766899845 0.0075
2453861.09126 16.588446766899843 0.0091
2453861.12021 16.555146766899846 0.0104
2453861.14635 16.563846766899843 0.0089
2453861.17545 16.580046766899844 0.0103
2453861.20495 16.567746766899845 0.0128
2453861.23119 16.562346766899843 0.0105
2453861.25733 16.576546766899845 0.0122
2453861.93137 16.561046766899842 0.0094
2453861.95975 16.582046766899843 0.0103
2453861.9859 16.576446766899842 0.0099
2453862.01376 16.561546766899845 0.0076
2453862.0431 16.574746766899842 0.0069
2453862.06924 16.558146766899846 0.0079
2453862.09536 16.582946766899845 0.01
2453862.12147 16.574246766899847 0.0065
2453862.14886 16.588346766899846 0.0075
2453862.17513 16.588446766899843 0.0074
2453862.20246 16.579046766899843 0.007
2453862.23103 16.567046766899843 0.007
2453862.2572 16.581046766899846 0.009
2453863.93023 16.564746766899844 0.0139
2453863.95636 16.552646766899844 0.0176
2453863.98249 16.548946766899846 0.0122
2453864.00867 16.569146766899845 0.01
2453864.0348 16.607346766899845 0.0166
2453864.06093 16.562146766899843 0.0098
2453864.08707 16.573346766899846 0.0097
2453864.11324 16.568046766899844 0.027
2453864.13936 16.572646766899844 0.016
2453864.16559 16.557646766899843 0.0223
2453864.19765 16.565246766899847 0.0149
2453864.22386 16.574746766899842 0.0241
2453864.25003 16.545446766899843 0.0128
2453864.27615 16.544446766899846 0.0298
2453867.94047 16.561046766899842 0.0163
2453867.96764 16.554546766899847 0.0117
2453867.99546 16.577446766899847 0.015
2453868.02338 16.582746766899845 0.0118
2453868.0305 16.601646766899847 0.0101
2453868.03762 16.583346766899844 0.0114
2453868.04474 16.589146766899844 0.0131
2453868.05069 16.573646766899845 0.0116
2453868.05781 16.577646766899846 0.0112
