hjd mag mag_err
2455260.85488 16.416 0.007
2455260.90179 16.365 0.006
2455261.793 16.405 0.008
2455262.83147 16.4 0.016
2455264.8159 16.412 0.007
2455264.86911 16.369 0.007
2455264.88639 16.383 0.007
2455265.79207 16.407 0.007
2455266.78019 16.394 0.008
2455267.822 16.405 0.007
2455268.79327 16.367 0.007
2455269.7881 16.386 0.007
2455270.8325 16.375 0.006
2455271.78757 16.395 0.007
2455273.84901 16.356 0.006
2455274.79778 16.365 0.007
2455275.78351 16.399 0.007
2455275.91474 16.382 0.008
2455276.81836 16.394 0.006
2455278.79462 16.41 0.007
2455279.79517 16.378 0.009
2455279.9189 16.395 0.008
2455280.84684 16.374 0.006
2455281.78237 16.36 0.006
2455281.91899 16.394 0.008
2455282.76285 16.4 0.007
2455282.9075 16.358 0.006
2455283.76401 16.409 0.01
2455284.76601 16.395 0.008
2455285.76165 16.381 0.009
2455285.891 16.36 0.007
2455286.75287 16.404 0.008
2455287.82252 16.36 0.006
2455288.75588 16.363 0.007
2455292.82602 16.371 0.009
2455293.834 16.379 0.007
2455294.72917 16.421 0.007
2455294.74472 16.404 0.007
2455294.76831 16.404 0.006
2455294.78212 16.394 0.005
2455294.80538 16.393 0.005
2455294.81932 16.392 0.005
2455294.84296 16.382 0.005
2455294.84938 16.384 0.005
2455294.87301 16.39 0.005
2455294.8887 16.392 0.005
2455294.91508 16.39 0.006
2455295.74569 16.385 0.006
2455295.77 16.39 0.006
2455295.78404 16.379 0.006
2455295.80842 16.385 0.006
2455295.8225 16.407 0.007
2455295.84631 16.396 0.005
2455295.86047 16.369 0.006
2455295.88516 16.393 0.006
2455295.89991 16.395 0.006
2455296.7729 16.401 0.006
2455296.78994 16.385 0.005
2455296.81043 16.389 0.006
2455296.82443 16.385 0.005
2455296.84784 16.393 0.005
2455296.86184 16.388 0.005
2455296.88594 16.378 0.006
2455296.90163 16.388 0.006
2455297.76881 16.391 0.006
2455297.78306 16.398 0.006
2455297.80688 16.391 0.006
2455297.82108 16.392 0.006
2455297.84475 16.388 0.005
2455297.85887 16.391 0.005
2455297.88303 16.392 0.005
2455297.89804 16.394 0.005
2455298.76971 16.401 0.006
2455298.78398 16.386 0.006
2455298.80765 16.392 0.006
2455298.8218 16.385 0.007
2455298.8454 16.374 0.006
2455298.85974 16.37 0.006
2455298.88433 16.381 0.006
2455298.89924 16.398 0.006
2455298.91845 16.393 0.006
2455299.73081 16.397 0.005
2455299.75442 16.399 0.006
2455299.76845 16.392 0.005
2455299.79196 16.425 0.003
2455299.8062 16.44 0.004
2455299.82984 16.399 0.004
2455299.8439 16.433 0.004
2455299.86802 16.392 0.004
2455299.88235 16.369 0.005
2455299.90896 16.392 0.005
2455300.83958 16.392 0.006
2455300.86316 16.399 0.006
2455300.87863 16.394 0.006
2455300.90391 16.388 0.006
2455300.91811 16.398 0.006
2455301.759 16.402 0.008
2455301.77306 16.393 0.007
2455301.79648 16.391 0.006
2455301.81038 16.391 0.006
2455301.83394 16.388 0.007
2455301.84792 16.4 0.007
2455301.87226 16.393 0.007
2455301.88782 16.39 0.007
2455301.91243 16.396 0.008
2455303.89577 16.396 0.006
2455304.73345 16.394 0.009
2455304.75861 16.391 0.008
2455304.77276 16.381 0.007
2455306.69227 16.397 0.007
2455306.70617 16.386 0.006
2455306.75501 16.376 0.007
2455306.77026 16.388 0.006
2455306.79397 16.403 0.006
2455306.83336 16.387 0.006
2455306.85725 16.393 0.006
2455306.8725 16.398 0.006
