hjd mag mag_err
2453824.08745 15.022791259449203 0.0012
2453824.12701 15.018391259449203 0.0017
2453824.16558 15.023591259449203 0.0019
2453824.19107 15.017791259449204 0.0015
2453825.08936 15.017691259449203 0.0013
2453825.12847 15.011991259449204 0.0021
2453825.17302 15.022391259449204 0.002
2453825.21542 15.018091259449204 0.0044
2453837.1134 15.015291259449203 0.0016
2453837.16012 15.017891259449204 0.0026
2453837.20101 15.015891259449203 0.0017
2453837.24886 15.019191259449203 0.002
2453839.05924 15.019491259449204 0.0019
2453839.09906 15.021091259449204 0.0017
2453839.13876 15.023591259449203 0.0017
2453839.17859 15.014691259449204 0.0018
2453839.21797 15.021191259449203 0.0016
2453842.99114 15.006491259449204 0.0051
2453843.03227 15.011691259449204 0.0041
2453843.0613 15.032091259449203 0.0042
2453843.08933 15.032191259449203 0.0038
2453843.11792 15.006391259449204 0.0039
2453845.12844 15.009791259449203 0.0023
2453845.15493 15.021291259449203 0.0044
2453845.97452 15.016691259449203 0.0048
2453846.00132 15.009891259449203 0.0048
2453848.96896 15.020691259449203 0.0029
2453854.96627 15.020491259449203 0.0027
2453855.00839 15.019691259449203 0.0015
2453855.03333 15.017491259449203 0.0016
2453855.05964 15.027491259449203 0.0013
2453855.08458 15.021991259449203 0.0015
2453855.13653 15.021291259449203 0.0018
2453855.94231 15.033591259449203 0.0036
2453855.96843 15.019291259449204 0.0017
2453855.99442 15.029691259449203 0.003
2453856.02055 15.012391259449203 0.0033
2453856.08332 15.021691259449204 0.0029
2453856.11026 15.022591259449204 0.0025
2453856.13929 15.014591259449203 0.0021
2453856.16546 15.019391259449204 0.0023
2453856.19278 15.025291259449203 0.003
2453856.22435 15.021991259449203 0.0018
2453856.25058 15.017591259449203 0.0017
2453857.92963 15.010391259449204 0.0025
2453858.93124 15.019391259449204 0.002
2453858.96094 15.022191259449203 0.0014
2453858.98709 15.021591259449204 0.0017
2453859.01605 15.018791259449204 0.0022
2453859.0432 15.020991259449204 0.0016
2453859.07208 15.024391259449203 0.0017
2453859.10047 15.021791259449204 0.0013
2453859.12661 15.022291259449203 0.0014
2453859.15272 15.021991259449203 0.0015
2453859.18209 15.017991259449204 0.0014
2453859.21297 15.016491259449204 0.0014
2453859.23919 15.018991259449203 0.0014
2453859.26538 15.013991259449204 0.0015
2453859.96795 15.070291259449203 0.01
2453859.99699 15.035591259449204 0.0083
2453860.0231 15.021291259449203 0.0024
2453860.05368 15.017091259449204 0.0019
2453860.07979 15.018391259449203 0.0022
2453860.10595 15.015591259449204 0.0017
2453860.13448 15.011991259449204 0.0017
2453860.1607 15.018791259449204 0.0015
2453860.18808 15.022991259449203 0.0015
2453860.21659 15.018991259449203 0.002
2453860.24279 15.017791259449204 0.0014
2453860.92573 15.021591259449204 0.0017
2453860.95438 15.019691259449203 0.0015
2453860.98051 15.019791259449203 0.0016
2453861.00664 15.017891259449204 0.0013
2453861.03277 15.014091259449204 0.0014
2453861.06141 15.018791259449204 0.0028
2453861.08756 15.011891259449204 0.0022
2453861.11652 15.024191259449204 0.0026
2453861.14266 15.019391259449204 0.0022
2453861.17163 15.017091259449204 0.0021
2453861.20126 15.017991259449204 0.0018
2453861.22749 15.018591259449204 0.0015
2453861.25363 15.017191259449204 0.0017
2453861.27977 15.023591259449203 0.0019
2453861.92767 15.027891259449204 0.0019
2453861.95607 15.026291259449204 0.0015
2453861.9822 15.023791259449203 0.0015
2453862.01006 15.022991259449203 0.0015
2453862.03941 15.023191259449204 0.0012
2453862.06554 15.020591259449203 0.0018
2453862.09166 15.020991259449204 0.0017
2453862.11778 15.020291259449204 0.0014
2453862.14517 15.014991259449204 0.0016
2453862.17144 15.025691259449204 0.0015
2453862.19877 15.023391259449204 0.0014
2453862.22733 15.023191259449204 0.0011
2453862.2535 15.024991259449203 0.0016
2453862.27962 15.010591259449203 0.0024
2453863.92653 15.016091259449203 0.0021
2453863.95266 15.014391259449203 0.0024
2453863.97879 15.014991259449204 0.0016
2453864.00498 15.026291259449204 0.0015
2453864.03111 15.023891259449204 0.0024
2453864.05723 15.027091259449204 0.0016
2453864.08338 15.021991259449203 0.0018
2453864.10954 15.012991259449203 0.0027
2453864.13566 15.025791259449203 0.0037
2453864.1619 15.030491259449203 0.0047
2453864.19396 15.023091259449204 0.0028
2453864.22017 15.026291259449204 0.0047
2453864.24633 15.014991259449204 0.0023
2453864.27245 15.016191259449203 0.0028
2453867.93678 15.022691259449203 0.0024
2453867.96395 15.021391259449203 0.0022
2453867.99176 15.023191259449204 0.002
2453868.01968 15.021591259449204 0.002
2453868.05412 15.021991259449203 0.0019
2453868.08261 15.020491259449203 0.0019
2453868.11886 15.025891259449203 0.0019
2453868.15589 15.021891259449204 0.0023
2453868.19575 15.021891259449204 0.002
2453868.23206 15.023791259449203 0.0023
2453868.2677 15.012191259449203 0.0022
2453872.93947 15.014691259449204 0.0031
2453872.97562 15.017691259449203 0.0025
2453873.01139 15.020791259449204 0.0034
2453873.0477 15.019891259449203 0.0048
2453873.0851 15.023691259449203 0.0034
2453873.12075 15.020491259449203 0.0038
2453873.15802 15.020491259449203 0.0021
2453873.19651 15.018391259449203 0.0047
2453873.23492 15.002891259449203 0.004
2453873.27055 15.017391259449203 0.0056
2453873.91481 15.023891259449204 0.0019
2453873.95324 15.013391259449204 0.0044
2453873.98973 15.011091259449204 0.002
2453874.02557 15.021591259449204 0.0024
2453874.06143 15.015791259449204 0.0018
2453874.1001 15.022891259449203 0.0013
2453874.13616 15.015591259449204 0.0016
2453874.17666 15.025091259449203 0.0015
2453874.21321 15.022191259449203 0.0017
2453874.25361 15.019891259449203 0.0018
2453874.92022 15.016491259449204 0.0039
2453874.9562 15.018391259449203 0.0022
2453874.99213 15.022991259449203 0.0017
2453875.02851 15.018391259449203 0.0016
2453875.0651 15.019191259449203 0.0024
2453875.10164 15.024591259449203 0.0019
2453875.13838 15.021791259449204 0.0042
2453875.17905 15.020091259449204 0.0021
2453875.21561 15.023391259449204 0.0021
2453875.25347 15.011791259449204 0.0023
2453875.29005 15.016491259449204 0.0053
2453879.96075 15.022191259449203 0.0014
2453879.99659 15.020491259449203 0.0016
2453880.03276 15.017191259449204 0.0013
2453880.06884 15.022491259449204 0.0013
2453880.10854 15.026391259449204 0.0016
2453880.14582 15.016791259449203 0.0014
2453880.18491 15.021491259449203 0.0015
2453880.22147 15.018191259449203 0.0014
2453880.26284 15.016491259449204 0.0011
2453881.04181 15.012691259449204 0.0034
2453881.08254 15.013491259449204 0.0036
2453881.11911 15.021491259449203 0.0065
2453882.92964 15.023291259449204 0.0041
2453883.00745 15.009791259449203 0.0035
2453883.04493 15.023591259449203 0.0017
2453883.08222 15.017791259449204 0.002
2453883.11805 15.022691259449203 0.0012
2453883.16065 15.023791259449203 0.0014
2453883.20002 15.014291259449204 0.0017
2453883.24484 15.013391259449204 0.0023
2453883.28243 15.011091259449204 0.0019
2453885.01857 15.024191259449204 0.0035
2453885.10599 15.010891259449204 0.0145
2453885.16031 15.012091259449203 0.0059
2453885.92966 15.022791259449203 0.0022
2453885.96636 15.013491259449204 0.002
2453886.00203 15.009691259449204 0.0025
2453886.03765 15.020991259449204 0.0013
2453886.07326 15.028391259449203 0.0039
2453887.17001 15.020791259449204 0.0013
2453887.20602 15.023891259449204 0.0022
2453887.24188 15.023691259449203 0.0017
2453887.27751 15.017191259449204 0.0026
2453887.89397 15.018291259449203 0.0017
2453887.93065 15.021991259449203 0.0013
2453887.96988 15.018991259449203 0.0015
2453888.00607 15.019391259449204 0.0021
2453888.04337 15.015091259449203 0.0016
2453888.08016 15.019791259449203 0.0017
2453888.11904 15.025291259449203 0.0018
2453888.15793 15.018591259449204 0.0016
2453888.19535 15.013291259449204 0.0016
2453888.23175 15.021091259449204 0.0014
2453888.2681 15.028891259449203 0.0017
2453889.05141 15.016591259449203 0.0015
2453891.85189 15.018991259449203 0.002
2453891.89351 15.027991259449204 0.0014
2453891.93148 15.018491259449203 0.0015
2453891.97312 15.020091259449204 0.0016
2453892.00874 15.024591259449203 0.0015
2453892.04698 15.017091259449204 0.0015
2453892.08274 15.023191259449204 0.0014
2453892.12224 15.019491259449204 0.0012
2453892.27277 15.015891259449203 0.0019
2453892.86566 15.028591259449204 0.004
2453892.9087 14.997991259449204 0.0087
2453892.92449 15.006391259449204 0.0034
2453893.02616 15.045991259449204 0.013
2453893.05834 15.020591259449203 0.0049
2453893.12766 15.038491259449204 0.0035
2453893.15872 15.024391259449203 0.0034
2453893.19573 15.039791259449203 0.0089
2453893.22661 15.017691259449203 0.0029
2453893.25782 15.028991259449203 0.0026
2453893.28944 15.035291259449204 0.0052
2453893.83133 15.015391259449203 0.0031
2453893.86408 15.025091259449203 0.0019
2453893.89622 15.022691259449203 0.0017
2453893.93369 15.019191259449203 0.0021
2453893.97071 15.022791259449203 0.0031
2453894.015 15.025391259449204 0.0015
2453894.05216 15.022191259449203 0.0018
2453894.09288 15.020391259449204 0.0013
2453894.13251 15.026591259449203 0.0014
2453894.17532 15.020791259449204 0.0023
2453894.21226 15.013591259449203 0.0019
2453894.24788 15.023191259449204 0.0019
2453894.28536 15.014791259449204 0.0018
2453894.83586 15.024191259449204 0.0025
2453894.87828 15.019891259449203 0.0022
2453894.91667 15.021091259449204 0.0019
2453894.95443 15.018091259449204 0.0013
2453894.99571 15.015691259449204 0.0014
2453895.04227 15.016691259449203 0.0014
2453895.08339 15.016691259449203 0.0014
2453895.12401 15.025491259449204 0.0015
2453895.16072 15.018791259449204 0.0018
2453895.20093 15.014491259449203 0.0022
2453895.23957 15.025991259449203 0.0022
2453895.27707 15.017891259449204 0.0046
2453896.03422 15.023591259449203 0.0059
2453896.07136 15.025491259449204 0.0069
2453902.93016 15.017791259449204 0.0052
2453902.96762 15.028991259449203 0.002
2453903.00491 15.033791259449204 0.0089
2453903.04355 14.998991259449204 0.0169
2453903.07488 15.021691259449204 0.0037
2453903.21163 15.024191259449204 0.0015
2453903.24919 15.026091259449203 0.0022
2453903.85753 15.014791259449204 0.0033
2453903.89532 15.028591259449204 0.0062
2453903.95974 15.024491259449203 0.0029
2453903.99796 15.020191259449204 0.0022
2453904.04466 15.023491259449203 0.0038
2453905.18184 15.023591259449203 0.0017
2453905.22572 15.028791259449203 0.0023
2453905.84589 15.014191259449204 0.0021
2453905.88941 15.012891259449203 0.0015
2453905.92622 15.014391259449203 0.0012
2453905.96332 15.022791259449203 0.0013
2453906.00017 15.022491259449204 0.0013
