hjd mag mag_err
2453824.09089 18.16522637048946 0.037
2453824.13045 18.13752637048946 0.0552
2453824.16902 18.11752637048946 0.0455
2453824.19451 18.133526370489463 0.0461
2453825.09281 18.13742637048946 0.0326
2453825.13191 18.14152637048946 0.0436
2453825.1765 18.180826370489463 0.0832
2453825.21886 18.22292637048946 0.1002
2453837.11686 18.17752637048946 0.0444
2453837.16359 18.184226370489462 0.0514
2453837.20455 18.117326370489458 0.0341
2453837.25235 18.16932637048946 0.0423
2453839.06273 18.16292637048946 0.041
2453839.10257 18.17402637048946 0.0466
2453839.14224 18.12272637048946 0.0358
2453839.18207 18.133526370489463 0.0482
2453839.22147 18.23572637048946 0.0462
2453842.99463 18.14342637048946 0.0887
2453843.03483 18.08912637048946 0.0755
2453843.06384 18.275426370489463 0.0943
2453843.09192 18.29592637048946 0.0719
2453843.12045 18.143126370489462 0.0572
2453845.13095 18.05402637048946 0.062
2453848.9724 18.10142637048946 0.0702
2453854.96878 18.173526370489462 0.0855
2453855.0109 18.12552637048946 0.0478
2453855.03584 18.106526370489462 0.033
2453855.06216 18.09822637048946 0.0404
2453855.08709 18.22892637048946 0.0653
2453855.94482 18.15922637048946 0.0927
2453855.97094 18.077226370489463 0.0462
2453855.99694 18.08892637048946 0.0831
2453856.02306 18.240826370489458 0.1385
2453856.08583 18.14202637048946 0.1004
2453856.11278 18.02972637048946 0.0857
2453856.14181 18.20182637048946 0.0808
2453856.16797 18.26582637048946 0.0678
2453856.19529 18.04782637048946 0.05
2453856.22687 18.129426370489462 0.0416
2453856.25309 18.17642637048946 0.0352
2453857.93213 18.275926370489458 0.132
2453858.93375 18.19912637048946 0.054
2453858.96345 18.14692637048946 0.0328
2453858.9896 18.17342637048946 0.0349
2453859.01857 18.19462637048946 0.0371
2453859.0457 18.05592637048946 0.0277
2453859.07458 18.19732637048946 0.0314
2453859.10298 18.17522637048946 0.0325
2453859.12913 18.187526370489458 0.029
2453859.15523 18.228626370489458 0.031
2453859.1846 18.13902637048946 0.0263
2453859.21548 18.166026370489462 0.0234
2453859.2417 18.146226370489458 0.0307
2453859.26788 18.167126370489463 0.0339
2453859.97046 18.07332637048946 0.0928
2453859.9995 18.115326370489463 0.1491
2453860.02561 18.16592637048946 0.0479
2453860.05618 18.19372637048946 0.0453
2453860.08229 18.15622637048946 0.0403
2453860.10846 18.08872637048946 0.0473
2453860.13699 18.228326370489462 0.0374
2453860.16321 18.135026370489463 0.0309
2453860.19059 18.22782637048946 0.0323
2453860.2191 18.19882637048946 0.0264
2453860.24531 18.20162637048946 0.0225
2453860.92824 18.19162637048946 0.037
2453860.95688 18.188726370489462 0.0354
2453860.98302 18.196426370489462 0.0362
2453861.00915 18.173326370489463 0.034
2453861.03528 18.13192637048946 0.0547
2453861.06391 18.104826370489462 0.061
2453861.09007 18.13032637048946 0.0587
2453861.11902 18.14492637048946 0.0846
2453861.14516 18.225326370489462 0.0693
2453861.17426 18.02762637048946 0.0594
2453861.20376 18.11312637048946 0.0506
2453861.23 18.17812637048946 0.051
2453861.25614 18.18992637048946 0.035
2453861.93018 18.09662637048946 0.0469
2453861.95857 18.16792637048946 0.0378
2453861.98471 18.16832637048946 0.0555
2453862.01257 18.179826370489458 0.0313
2453862.04191 18.18742637048946 0.0295
2453862.06805 18.18692637048946 0.0372
2453862.09417 18.19512637048946 0.0354
2453862.12028 18.182826370489458 0.031
2453862.14767 18.165626370489463 0.0341
2453862.17395 18.140226370489458 0.0262
2453862.20127 18.19012637048946 0.0259
2453862.22984 18.13132637048946 0.0427
2453862.25601 18.17712637048946 0.0326
2453863.92904 18.17772637048946 0.0515
2453863.95518 18.106526370489462 0.0603
2453863.98129 18.11152637048946 0.037
2453864.00748 18.17542637048946 0.0301
2453864.03361 18.12972637048946 0.0582
2453864.05974 18.15372637048946 0.0348
2453864.08588 18.085126370489462 0.035
2453864.11205 18.14632637048946 0.0886
2453864.13817 18.11222637048946 0.046
2453864.16441 17.98472637048946 0.0641
2453864.19646 18.136926370489462 0.0388
2453864.22267 18.01352637048946 0.1018
2453864.24884 18.27082637048946 0.0473
2453864.27496 18.28092637048946 0.0617
2453867.93928 18.159626370489462 0.0574
2453867.96645 18.14672637048946 0.0506
2453867.99426 18.19332637048946 0.0479
2453868.02219 18.10732637048946 0.0435
2453868.05662 18.04922637048946 0.0497
2453868.08511 18.124526370489463 0.0482
2453868.12136 18.211926370489458 0.0566
2453868.1584 18.14222637048946 0.0438
2453868.19825 18.14012637048946 0.044
2453868.23456 18.22802637048946 0.0436
2453868.2702 18.08782637048946 0.0422
2453872.94197 18.22012637048946 0.065
2453872.97812 18.15912637048946 0.0599
2453873.01388 18.056026370489462 0.088
2453873.0502 18.02252637048946 0.0894
2453873.08759 18.107626370489463 0.092
2453873.12325 18.17542637048946 0.0832
2453873.16051 18.16042637048946 0.0555
2453873.19901 18.033426370489458 0.0679
2453873.23742 18.14242637048946 0.0993
2453873.27305 18.06432637048946 0.0992
2453873.91731 18.204126370489462 0.0769
2453873.95574 18.25732637048946 0.0647
2453873.99224 18.18162637048946 0.0492
2453874.02807 18.08852637048946 0.0474
2453874.06393 18.142726370489463 0.0498
2453874.10261 18.224926370489463 0.046
2453874.13866 18.09932637048946 0.0351
2453874.17916 18.20602637048946 0.0311
2453874.21571 18.19742637048946 0.0401
2453874.25612 18.225326370489462 0.0385
2453874.92273 18.05992637048946 0.0593
2453874.9587 18.083726370489458 0.0571
2453874.99469 18.15252637048946 0.0531
2453875.03104 18.123026370489463 0.0416
2453875.06761 18.00342637048946 0.0457
2453875.10419 18.229826370489462 0.0425
2453875.14093 18.10822637048946 0.0659
2453875.18162 18.25352637048946 0.0654
2453875.21815 18.15622637048946 0.0497
2453875.25598 18.14332637048946 0.0467
2453879.96324 18.14712637048946 0.0351
2453879.99908 18.13472637048946 0.0377
2453880.03525 18.11692637048946 0.0437
2453880.07133 18.13382637048946 0.0415
2453880.11103 18.17402637048946 0.0454
2453880.14831 18.152426370489458 0.0379
2453880.18741 18.091126370489462 0.0564
2453880.22396 18.133726370489462 0.0809
2453880.26533 18.13192637048946 0.0424
2453881.0443 18.11942637048946 0.0587
2453881.08504 18.12842637048946 0.058
2453882.93213 18.148726370489463 0.0851
2453883.00994 18.01842637048946 0.0502
2453883.04742 18.16352637048946 0.0307
2453883.08472 18.11012637048946 0.0284
2453883.12054 18.17852637048946 0.0248
2453883.16313 18.21832637048946 0.0259
2453883.20252 18.165626370489463 0.0324
2453883.24733 18.26272637048946 0.0327
2453883.28493 18.093926370489463 0.0423
2453885.16516 18.213126370489462 0.0723
2453885.93214 18.13322637048946 0.0767
2453885.96884 18.12712637048946 0.0603
2453886.00451 18.086926370489458 0.0683
2453886.04013 18.15372637048946 0.062
