hjd mag mag_err
2453824.09079 16.140359848492743 0.0035
2453824.13035 16.14305984849274 0.0043
2453824.16892 16.15055984849274 0.0057
2453824.19441 16.142559848492745 0.0045
2453825.09271 16.151059848492743 0.0033
2453825.13182 16.14925984849274 0.0039
2453825.17641 16.148159848492742 0.005
2453825.21877 16.13645984849274 0.0078
2453837.11676 16.140759848492742 0.0043
2453837.1635 16.149759848492742 0.0061
2453837.20446 16.145359848492742 0.0042
2453837.25226 16.145059848492743 0.0053
2453839.06264 16.15305984849274 0.0052
2453839.10248 16.15155984849274 0.0043
2453839.14215 16.163359848492743 0.0048
2453839.18198 16.152659848492743 0.0049
2453839.22138 16.152759848492742 0.0062
2453842.99454 16.126259848492744 0.015
2453843.03475 16.141759848492743 0.017
2453843.06375 16.169559848492742 0.0142
2453843.09183 16.150959848492743 0.0089
2453843.12036 16.13795984849274 0.0098
2453845.13087 16.153459848492744 0.0072
2453845.97695 16.153859848492743 0.0139
2453848.97232 16.149659848492742 0.0067
2453854.96871 16.163459848492742 0.0073
2453855.01082 16.16295984849274 0.0051
2453855.03577 16.168259848492742 0.0051
2453855.06208 16.156259848492745 0.0038
2453855.08701 16.13705984849274 0.0135
2453855.13896 16.10625984849274 0.0358
2453855.94474 16.18375984849274 0.0112
2453855.97086 16.15335984849274 0.0069
2453855.99686 16.14435984849274 0.0104
2453856.02299 16.17945984849274 0.0174
2453856.08576 16.13835984849274 0.0126
2453856.1127 16.157959848492744 0.0052
2453856.14173 16.161659848492743 0.0061
2453856.16789 16.16685984849274 0.0051
2453856.19521 16.157759848492745 0.01
2453856.2268 16.167759848492743 0.006
2453856.25301 16.161659848492743 0.006
2453857.93206 16.169159848492743 0.0133
2453858.93368 16.15675984849274 0.006
2453858.96337 16.164659848492743 0.0041
2453858.98952 16.156459848492744 0.005
2453859.01849 16.165059848492742 0.0061
2453859.04563 16.155159848492744 0.0053
2453859.07451 16.152859848492742 0.0044
2453859.10291 16.164159848492744 0.0041
2453859.12906 16.16375984849274 0.0042
2453859.15516 16.162659848492744 0.0041
2453859.18453 16.163259848492743 0.0044
2453859.21541 16.168059848492742 0.0041
2453859.24163 16.169059848492743 0.005
2453859.26781 16.167759848492743 0.0061
2453859.97039 16.117259848492743 0.0158
2453859.99943 16.211459848492744 0.0233
2453860.02554 16.153659848492744 0.0051
2453860.05611 16.154159848492743 0.0047
2453860.08222 16.158159848492744 0.0058
2453860.10839 16.15055984849274 0.0053
2453860.13692 16.16145984849274 0.0044
2453860.16314 16.160059848492743 0.004
2453860.19052 16.159659848492744 0.0051
2453860.21903 16.15785984849274 0.0045
2453860.24523 16.165159848492742 0.0043
2453860.92817 16.149859848492742 0.0052
2453860.95681 16.16255984849274 0.0056
2453860.98295 16.15825984849274 0.0044
2453861.00908 16.172759848492742 0.0041
2453861.03521 16.162159848492742 0.004
2453861.06384 16.16875984849274 0.0048
2453861.09 16.148359848492742 0.0058
2453861.11895 16.152659848492743 0.0054
2453861.14509 16.158959848492742 0.0055
2453861.17419 16.14735984849274 0.0075
2453861.20369 16.16525984849274 0.0088
2453861.22993 16.155859848492742 0.0051
2453861.25607 16.162159848492742 0.0054
2453861.93011 16.13985984849274 0.0062
2453861.9585 16.161359848492744 0.005
2453861.98464 16.155459848492743 0.0065
2453862.0125 16.16685984849274 0.0047
2453862.04184 16.15525984849274 0.0038
2453862.06798 16.155759848492742 0.0038
2453862.0941 16.14865984849274 0.005
2453862.12021 16.163159848492743 0.0049
2453862.14761 16.16225984849274 0.0055
2453862.17388 16.15805984849274 0.0038
2453862.2012 16.154259848492742 0.0058
2453862.22977 16.161359848492744 0.0044
2453862.25594 16.170959848492743 0.0045
2453863.92897 16.160959848492745 0.0063
2453863.95511 16.15675984849274 0.0099
2453863.98123 16.17285984849274 0.0062
2453864.00741 16.150659848492744 0.0053
2453864.03355 16.160159848492743 0.0084
2453864.05967 16.155359848492743 0.0053
2453864.08582 16.161859848492742 0.0056
2453864.11198 16.169059848492743 0.0131
2453864.13811 16.18565984849274 0.0095
